dates,green,red,nir,swir1,swir2,evi,qa
738445,620,1038,2120,2829,1837,1762,0
738451,667,918,1519,1499,887,1045,2
738455,1523,2265,3606,4254,2911,1727,0
738460,315,614,1113,1292,975,882,4
738465,1175,1675,2612,3510,2442,1382,0
738467,896,1150,1785,2441,1583,1070,0
738470,888,1294,2246,3447,2314,1471,0
738475,1637,2105,3310,4612,3717,1698,4
738480,1185,1664,2427,3745,3528,1173,0
738490,769,1106,1610,2294,2078,862,0
738505,756,1227,2101,2754,2051,1328,0
738507,1120,1552,2355,3065,2630,1246,0
738510,1057,1604,2502,3178,2621,1285,4
738525,678,1161,1935,2467,1768,1184,0
738530,994,1565,2485,3053,2331,1259,4
738535,863,1284,2151,2839,2144,1342,0
738539,555,770,1391,1451,1035,1091,4
738540,790,1207,2113,2701,1991,1402,0
738547,1033,1398,2255,2735,2122,1354,0
738563,1034,1402,2300,2874,2228,1426,0
738571,1136,1484,2507,3088,2369,1603,0
738605,660,1095,1943,2570,1784,1312,0
738611,1310,1766,2718,3745,3163,1426,0
738620,1577,2147,3215,4693,4284,1476,0
738627,1727,2335,3406,4802,4453,1429,0
738630,925,1286,3139,3582,2831,3203,4
738643,1771,2336,3453,4722,4464,1511,0
738655,782,760,2283,2055,1276,2966,4
738660,958,1035,3439,3168,2129,3802,0
738665,664,620,3164,2197,1159,4382,0
738670,907,961,4128,3012,1935,4941,0
738675,578,403,3984,1756,790,6100,0
738675,579,439,3977,1880,861,5933,0
738680,570,467,4342,1900,920,6329,0
738683,293,194,1683,621,377,3110,2
738691,377,232,4135,1282,483,6761,0
738695,415,300,4268,1507,624,6709,0
738700,426,327,4001,1648,693,6276,0
738723,414,251,4329,1576,615,7168,0
738725,558,436,4241,1804,824,6337,4
738731,459,360,3486,1640,785,5614,0
738747,5160,5112,6638,4955,3899,5021,4
738755,772,858,3011,2679,1738,3613,4
738755,702,732,2392,2326,1491,3037,0
738760,482,613,1594,1993,1338,1890,0
738763,555,720,1780,2322,1700,1951,0
738765,4139,3914,5035,3209,2282,3963,4
738770,488,647,1566,1937,1307,1749,0
738775,464,632,2195,2146,1311,2740,4
738779,584,749,1460,2296,1694,1401,0
738780,585,781,1585,2418,1808,1520,0
738785,650,850,1885,2459,1716,1861,0
738790,1230,1844,3288,4227,2741,1988,0
738795,1271,1836,3211,4134,2745,1928,0
738795,1230,1894,3267,4248,2789,1876,0
738800,1251,1830,3074,3977,2675,1702,0
738803,1197,1723,2845,3868,2660,1625,0
738805,1235,1891,3120,4233,2823,1654,4
738810,249,435,1099,1425,1278,1271,4
738811,755,1030,1742,2861,2617,1296,0
738819,1011,1343,2179,3186,2638,1407,0
738827,902,1258,2010,2752,2223,1262,0
738835,736,1120,1698,2388,1902,963,2
738840,1167,1672,2517,3568,3072,1246,0
738851,876,1221,1882,2572,2093,1105,0
738859,912,1254,1945,2519,2024,1153,0
738865,809,1203,1891,2591,2033,1120,0
738880,640,977,1660,2245,1659,1162,0
738885,864,1256,2062,2818,2275,1296,0
738895,614,978,1756,2350,1749,1290,0
738905,2245,2870,3767,2036,1794,1357,3
738915,3074,3916,5849,4997,4365,2091,4
738923,818,1107,1830,2371,1815,1242,0
738930,707,1052,1856,2432,1809,1329,0
738931,908,1220,2008,2560,1986,1333,0
738935,921,1296,2141,2937,2383,1362,0
738939,821,1101,1898,2481,1924,1374,0
738940,1085,1486,2452,3343,2805,1507,0
738955,1198,1532,2646,3506,2974,1748,0
738955,1240,1573,2657,3516,3074,1705,0
738963,887,1179,1817,2300,1710,1063,2
738965,1364,1857,2900,4106,3626,1528,0
738971,1340,1677,3049,3239,2371,1493,4
738975,1482,2079,3123,4257,3587,1412,0
738979,973,1300,1957,2380,1953,1053,2
738990,1633,2216,3406,4639,4045,1602,0
739000,1580,2122,3377,4628,4066,1724,0
739010,536,725,1680,2054,1308,1714,2
739015,814,1085,2258,2718,1922,1908,0
739020,1213,1459,3277,3950,2829,2866,4
739025,3506,3731,4907,4042,2797,2107,4
739027,1171,1386,3255,3653,2737,2932,0
739043,772,754,3320,2742,1763,4395,0
739050,956,974,3858,3236,2263,4685,0
739051,924,961,3828,3080,2121,4706,0
739059,885,836,4382,3041,1863,6051,0
739060,885,904,3843,3021,1901,4798,0
739070,1053,1051,4338,3188,1992,4821,4
739075,717,659,3924,2275,1243,5617,4
739080,4405,4463,6407,5573,4501,3944,4
739085,564,486,3306,1924,999,5079,0
739095,2603,2694,6002,3984,3062,5073,4
739100,778,769,3710,2654,1610,4889,0
739110,996,1100,4962,2948,1875,5195,4
739115,682,788,2684,2407,1457,3248,0
739115,704,796,2632,2354,1450,3189,0
739123,941,1226,2827,3386,2448,2625,0
739125,993,1342,2760,3706,2706,2259,0
739131,1006,1354,2624,3480,2532,2034,0
739139,1133,1391,2786,3882,3111,2417,0
739140,1107,1456,2813,3976,3131,2202,0
739155,1172,1496,2535,4112,3397,1739,0
739155,728,1199,2450,3632,2892,1783,4
739160,853,1137,2003,3189,2317,1513,0
739163,1052,1337,2259,3600,2863,1581,0
739165,1142,1472,2438,3899,3107,1591,0
739170,1158,1505,2459,3952,3231,1583,0
739171,1414,1739,2868,3892,3133,1747,4
739179,1229,1683,2527,3787,3597,1297,0
739180,1239,1735,2578,3967,3695,1266,0
739187,1115,2029,4130,4673,3638,2412,4
739205,758,1152,2268,3066,2187,1732,0
739211,1183,1537,2384,3172,2685,1346,0
739219,1417,1831,2759,3770,3352,1416,0
739220,5383,5728,6179,6296,5229,839,4
739225,1606,2106,3126,4278,3893,1445,0
739227,1668,2138,3068,4195,3835,1340,0
739259,1022,1377,2182,2857,2382,1297,0
739265,363,739,1618,1524,1023,1452,0
739267,679,946,1657,2083,1510,1254,0
739270,647,1111,2131,2371,1927,1509,4
739275,1132,1514,2351,3258,2862,1344,0
739295,201,382,992,992,768,1190,0
739305,513,906,1791,2056,1394,1408,0
739307,814,1143,1937,2472,1806,1333,0
739310,943,1335,2249,3040,2363,1477,0
739320,1151,1586,2637,3583,2999,1621,0
739323,1408,1821,2938,3984,3461,1683,0
739330,1255,1707,2858,3350,2763,1734,4
739331,1645,2103,3386,4526,4135,1831,0
739332,1560,2086,3303,4439,3957,1714,0
739335,1577,2085,3354,4394,3878,1769,0
739350,531,810,1794,2083,1437,1681,4
739352,762,1090,2305,2897,2031,1958,0
739355,906,1213,2407,3065,2239,1889,0
739355,1074,1345,2453,3015,2258,1777,0
739363,991,1344,2301,3143,2403,1553,0
739375,866,1191,2409,3361,2521,1897,4
739379,1515,1828,3316,4595,3710,2169,4
739380,4543,4741,5838,6204,4937,2195,4
739390,2773,2696,4551,3382,2914,3954,4
739392,916,1042,2558,2966,2052,2556,0
739395,8429,8375,8511,1958,2140,469,3
739400,2633,2785,3065,2838,1931,526,4
739403,1187,1225,3597,3567,2566,3796,0
739405,3286,3668,5231,5031,4220,2272,4
739410,692,599,3464,2389,1337,5189,0
739411,1362,1437,4204,3390,2433,4748,4
739412,864,857,3675,2840,1880,4751,0
739415,4428,4236,4619,3439,2195,1428,4
739419,653,458,4212,1919,927,6374,4
739425,1297,1578,4247,3309,2485,3489,4
739427,544,335,4571,1782,701,7078,0
739435,505,365,4103,1845,840,6595,0
739435,517,391,4229,2017,940,6598,0
739443,460,297,4219,1737,676,6790,0
739450,505,326,4762,1944,774,7575,0
739451,1038,917,4739,2300,1309,6591,4
